depth,Kanaldurchmesser_unten_um,Vol_%,gs_phi,Vol_clr_mean,Vol_clr_median,Vol_clr_std
20.0,110.987,0.0,3.171537392491127,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,121.837,0.0,3.036975771081558,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,133.748,0.0,2.9024107765448304,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,146.824,0.0,2.7678402830350213,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,161.177,0.0,2.6332822092929886,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,176.935,0.0,2.4987086351467758,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,194.232,0.0,2.3641471884756617,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,213.221,0.0,2.2295785596802196,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,234.066,0.0,2.0950127084673085,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,256.948,0.0,1.960451672171464,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,282.068,0.0,1.8258850902894332,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,309.644,0.0,1.6913176037943332,-6.727372685330227,-6.727372685330227,0.19500258042748078
40.0,0.0439105,0.0,14.47507451220161,-7.617054320572999,-7.617054320572999,0.10511324495771156
40.0,0.0482033,0.0,14.340508557635813,-7.617054320572999,-7.617054320572999,0.10511324495771156
40.0,0.0529158,0.0,14.205941916970517,-7.617054320572999,-7.617054320572999,0.10511324495771156
40.0,0.0580889,0.0,14.071377963903002,-7.617054320572999,-7.617054320572999,0.10511324495771156
40.0,0.0637679,0.000657237,13.936810103188618,-5.58054546542513,-5.58054546542513,0.4390752220774632
40.0,0.070002,0.00130618,13.80224433310974,-4.925575244294254,-4.925575244294254,0.3940364507824666
40.0,0.0768455,0.00261519,13.6676796949081,-4.284836411312238,-4.284836411312238,0.31838865007670986
40.0,0.0843581,0.00470431,13.533113872802678,-3.739652049973141,-3.739652049973141,0.2590510833307923
40.0,0.0926052,0.00763462,13.398547267953667,-3.282075002115087,-3.282075002115087,0.22138066394751021
40.0,0.101658,0.0115593,13.263988626676865,-2.883594206765601,-2.883594206765601,0.1983058664450484
40.0,0.111597,0.0165864,13.129414135028378,-2.534862616947285,-2.534862616947285,0.18082451115874876
40.0,0.122507,0.0225487,12.994848192960312,-2.2370405774856503,-2.2370405774856503,0.16771150907563526
40.0,0.134483,0.0295218,12.86028856636446,-1.9741811258495567,-1.9741811258495567,0.15838886162985671
40.0,0.147631,0.0380022,12.725716684910308,-1.7266501139258925,-1.7266501139258925,0.15134032594437796
40.0,0.162064,0.0482643,12.591148725396932,-1.4917922481552441,-1.4917922481552441,0.14541443400610568
40.0,0.177907,0.0603806,12.456589102971321,-1.2714467649335663,-1.2714467649335663,0.14028052603447935
40.0,0.1953,0.07461,12.322020430324745,-1.062852273291448,-1.062852273291448,0.13602064106819953
40.0,0.214393,0.0917243,12.187454577439166,-0.8588538151023775,-0.8588538151023775,0.1324648357790886
40.0,0.235353,0.11196,12.052886136645343,-0.6616591199000057,-0.6616591199000057,0.12941065669703541
40.0,0.258361,0.134771,11.918324070171769,-0.4780425000759543,-0.4780425000759543,0.1268385454125761
40.0,0.283619,0.159077,11.783758195746348,-0.3135508069262891,-0.3135508069262891,0.12497231133224586
40.0,0.311346,0.184135,11.64919363515756,-0.1680936876788146,-0.1680936876788146,0.12380741900358404
40.0,0.341784,0.209888,11.514627518114517,-0.03770628828028988,-0.03770628828028988,0.12307560382589879
40.0,0.375198,0.23676,11.38006024198873,0.0823456919019927,0.0823456919019927,0.12248031250623322
40.0,0.411878,0.264865,11.24549531121787,0.19419870149152008,0.19419870149152008,0.12202736421771417
40.0,0.452145,0.294275,11.110926869665022,0.2993455205446609,0.2993455205446609,0.12181859373079414
40.0,0.496347,0.32482,10.97636330702916,0.3980986687223913,0.3980986687223913,0.12181388401753535
40.0,0.544872,0.356806,10.841795024254486,0.49203825265020784,0.49203825265020784,0.12184011763147395
40.0,0.59814,0.390229,10.707229179964555,0.5816072372677961,0.5816072372677961,0.12187894491729842
40.0,0.656615,0.425403,10.572664671706132,0.668006909352941,0.668006909352941,0.12201536483111197
40.0,0.720807,0.462685,10.438099357831614,0.7521979900154716,0.7521979900154716,0.12227212748846743
40.0,0.791275,0.502726,10.30353320294686,0.835399128030704,0.835399128030704,0.12255825813405934
